,MD_size,MD_score,MD_test,MPR_size,MPR_score,MPR_test,MS_size,MS_score,MS_test
chi2_LR,2,0.41368685034508823,0.4143275357327364,30,0.6621534898156038,0.6610223438793049,3,0.4730487720418234,0.4750769360704802
ANOVA_LR,17,0.5414108906655277,0.5405481141063723,32,0.6621734891820216,0.6610223438793049,2,0.49103712450725057,0.493066646678621
mutualinfo_LR,11,0.5031684528132181,0.5047155169007963,28,0.648000343616113,0.6476596962875248,11,0.5031684528132181,0.5047155169007963
sfs(gb)_LR,6,0.5038324799718648,0.5058324134242241,33,0.6617556234977703,0.6599625441125885,6,0.5038324799718648,0.5058324134242241
sfs(lr)_LR,27,0.6594242793307266,0.656987174950985,38,0.6548749946370837,0.6553002917435718,2,0.49103712450725057,0.493066646678621
im(gb)_LR,3,0.5047550930114999,0.5066310258587065,26,0.6531359483657625,0.6505800899801087,3,0.5047550930114999,0.5066310258587065
im(lr)_LR,3,0.3573890468050195,0.3593560692393508,27,0.7848288913839904,0.7840321905938129,3,0.3573890468050195,0.3593560692393508
chi2_GB,2,0.8249524752695724,0.8242122265721246,13,0.9799835151646678,0.9796223323763328,3,0.8728999164985668,0.8719133562678236
ANOVA_GB,3,0.7379068909051156,0.7393695175920957,10,0.9748815999044304,0.974778361049281,4,0.8995794219111746,0.8989222555226961
mutualinfo_GB,2,0.9174892798206271,0.9172216510973048,3,0.9801562897410813,0.9797051117071582,3,0.9801562897410813,0.9797051117071582
sfs(gb)_GB,2,0.9250543737148235,0.9253735699276208,4,0.9940753249760856,0.9934814461575144,4,0.9940753249760856,0.9934814461575144
sfs(lr)_GB,7,0.7699666979021582,0.7673107427284606,14,0.9689164206082349,0.9653942526919344,8,0.9210883714715337,0.9224085019956776
im(gb)_GB,4,0.9347551142903614,0.9344049946497388,5,0.9802412055492663,0.9792778458704142,5,0.9802412055492663,0.9792778458704142
im(lr)_GB,3,0.5014258576426301,0.5027938563016362,26,0.9901582730961526,0.9898307942249334,8,0.8419753039423428,0.8376763388052985
chi2_NN,2,0.8129195910637008,0.8123679078945832,10,0.9427482304715419,0.9446435449259946,3,0.8580801586363357,0.8603510148053731
ANOVA_NN,5,0.8959935653308678,0.8905550215954728,10,0.9562482160200396,0.9580761355314092,5,0.8959935653308678,0.8905550215954728
mutualinfo_NN,4,0.9079509431977482,0.9127834331373262,9,0.9487668998995389,0.9527896676219898,4,0.9079509431977482,0.9127834331373262
sfs(gb)_NN,2,0.786469586830916,0.8238500160600478,6,0.9380456296043956,0.9393267750494056,3,0.9056037745328924,0.9132224970395776
sfs(lr)_NN,7,0.7600185955904204,0.7302936358351975,9,0.9423348057220394,0.94201062215478,9,0.9423348057220394,0.94201062215478
im(gb)_NN,3,0.7219791170703498,0.6836439477484877,9,0.9426550505355575,0.947009341313832,5,0.8919807235805195,0.8754335358711844
im(lr)_NN,3,0.4360153112869818,0.4430438441326487,26,0.9630149217748135,0.9628791865894762,8,0.8400042084042021,0.8428508489510964
