,MaxDelta,MD_score,MD_test,MinPerfReq,MPR_score,MPR_test,MaxScore,MS_score,MS_test
Individual_LR_chi2,2,0.9874745083617891,0.941084050117101,25,0.9896371187614872,0.9263832840939804,2,0.9874745083617891,0.941084050117101
Individual_LR_ANOVA,2,0.9874745083617891,0.941084050117101,25,0.9896371187614872,0.9263832840939804,2,0.9874745083617891,0.941084050117101
Individual_LR_mutualinfo,9,0.9880715844454577,0.9373933010907208,25,0.9896371187614872,0.9263832840939804,2,0.9867567347200067,0.9417225049120864
Individual_LR_sfs(rf),10,0.9880756491841656,0.9263832840939804,25,0.9896371187614872,0.9263832840939804,2,0.9867554783288138,0.9390076118370172
Individual_LR_sfs(lr),20,0.9893920742689183,0.9263832840939804,25,0.9896383757751037,0.9263832840939804,2,0.9874745083617891,0.941084050117101
Individual_LR_im(rf),9,0.9880756491841656,0.927468039108611,25,0.9896383757751037,0.9263832840939804,2,0.9867554783288138,0.9390076118370172
Individual_LR_im(lr),2,0.9877600191727701,0.9398686927738966,25,0.9896371187614872,0.9263832840939804,2,0.9877600191727701,0.9398686927738966
Individual_GB_chi2,2,0.9867456794825806,0.9416770648743302,25,0.9960335824797213,0.9524422265067692,2,0.9867456794825806,0.9416770648743302
Individual_GB_ANOVA,2,0.9867456794825806,0.9416770648743302,25,0.9960335824797213,0.9524422265067692,2,0.9867456794825806,0.9416770648743302
Individual_GB_mutualinfo,3,0.9934783043520319,0.9527388423333708,2,0.8893370794418223,0.9360853778546948,3,0.9934783043520319,0.9527388423333708
Individual_GB_sfs(rf),2,0.9928981870353095,0.9479846408862964,25,0.9960336102480929,0.9524400382685566,2,0.9928981870353095,0.9479846408862964
Individual_GB_sfs(lr),8,0.9937791199140265,0.9503478393762969,25,0.9960348700350163,0.9524422265067692,2,0.9867456794825806,0.9416770648743302
Individual_GB_im(rf),2,0.9928981870353095,0.9479846408862964,25,0.9960348700350163,0.9524422265067692,2,0.9928981870353095,0.9479846408862964
Individual_GB_im(lr),2,0.9875709901043971,0.940145469982368,25,0.9960348700350163,0.9524422265067692,2,0.9875709901043971,0.940145469982368
Individual_DNN_chi2,2,0.9886450409851897,0.9419261702578564,25,0.9972366729488783,0.9003042558636515,2,0.9886450409851897,0.9419261702578564
Individual_DNN_ANOVA,2,0.9887701527219097,0.94194393095967,25,0.997045780396032,0.9139568693443128,2,0.9887701527219097,0.94194393095967
Individual_DNN_mutualinfo,12,0.9959813457276727,0.868652726143432,25,0.9966877375363923,0.8695572034517407,2,0.987128976016915,0.8661403461257211
Individual_DNN_sfs(rf),25,0.9972233900838816,0.8743022576289858,25,0.9972233900838816,0.8743022576289858,2,0.9872368339130461,0.9443899529319352
Individual_DNN_sfs(lr),25,0.9972893786949901,0.9157783734475984,25,0.9972893786949901,0.9157783734475984,2,0.9887040884584029,0.941925252152315
Individual_DNN_im(rf),11,0.995877428476917,0.943528714693628,25,0.996948362956072,0.8696866273658083,2,0.9871378509418328,0.9443491999462148
Individual_DNN_im(lr),2,0.9881142489213257,0.9398380140948774,25,0.9971929969969666,0.939741910721102,2,0.9881142489213257,0.9398380140948774
Set_LR_union,10,0.9893917324973573,0.9263832840939804,25,0.9896383757751037,0.9263832840939804,5,0.988273490367825,0.9424533762867138
Set_LR_intersection,12,0.9893917324973573,0.927468039108611,25,0.9896383757751037,0.9263832840939804,1,0.9867567347200067,0.9398416387133408
Set_LR_quorum,9,0.9880756491841656,0.927468039108611,25,0.9896383757751037,0.9263832840939804,1,0.9867567347200067,0.9398416387133408
Set_GB_union,5,0.9934723468095431,0.9505173500124549,25,0.9960348700350163,0.9524400382685566,5,0.9934723468095431,0.9505173500124549
Set_GB_intersection,7,0.9937803794470094,0.9503478393762969,25,0.9960348700350163,0.9524400382685566,1,0.9866856857565482,0.940014378387014
Set_GB_quorum,8,0.9950228178941586,0.950897181363063,25,0.9960348700350163,0.9524400382685566,1,0.9866856857565482,0.940014378387014
Set_DNN_union,21,0.9970771227133464,0.9470697017866828,25,0.9968774646617901,0.9470020460347344,5,0.9891646016394985,0.94644399171676
Set_DNN_intersection,25,0.9970346796506686,0.916940300436952,0,0.0,0.9397411437550351,2,0.9887221278237444,0.9404736370632988
Set_DNN_quorum,21,0.9967720927271404,0.9469099593581094,25,0.9969899170916582,0.8722043437866077,1,0.9871926795534078,0.9397231392699108
Greedy_LR_greedy,17,0.9896325773663774,0.9263832840939804,25,0.9896371187614872,0.9263832840939804,2,0.9874745083617891,0.941084050117101
Greedy_GB_greedy,3,0.9934161272293321,0.9470751270931288,25,0.9960335824797213,0.9524422265067692,3,0.9934161272293321,0.9470751270931288
Greedy_DNN_greedy,6,0.9908664978216943,0.9454811040197114,25,0.9948311278713412,0.9464690621188562,2,0.9886191360675263,0.9404989838316796
