,MD_size,MD_score,MD_test,MPR_size,MPR_score,MPR_test,MS_size,MS_score,MS_test
chi2_LR,2,0.8405207410460342,0.8039987405541561,11,0.9212658019516109,0.7086621941594318,3,0.8883550615767503,0.7657251150618175
ANOVA_LR,3,0.8729907399543018,0.7163753799392096,11,0.9212658019516109,0.7086621941594318,2,0.8434862966696037,0.6475923910226506
mutualinfo_LR,3,0.8401918071170918,0.6493398912762103,12,0.922831091685587,0.6728889325539127,3,0.8401918071170918,0.6493398912762103
sfs(gb)_LR,2,0.8433384629900779,0.6233297985153765,10,0.9227952146832564,0.6728889325539127,2,0.8433384629900779,0.6233297985153765
sfs(lr)_LR,2,0.8942928934218669,0.7605659187167704,8,0.9256670506932517,0.7336130536130536,2,0.8942928934218669,0.7605659187167704
im(gb)_LR,4,0.8764834036819437,0.7015470356490825,10,0.9227952146832564,0.6728889325539127,2,0.8433384629900779,0.6233297985153765
im(lr)_LR,4,0.7908373571440095,0.3369355461211887,12,0.9165113016868254,0.6740620223832766,5,0.8831982774854996,0.647789626255306
chi2_GB,2,0.8441141728046968,0.7859772690891628,7,0.9641219174313166,0.7004865828395241,3,0.8972584029995216,0.7660894985383404
ANOVA_GB,3,0.90319802482929,0.7173240709901507,7,0.9641219174313166,0.7004865828395241,2,0.8743136085188011,0.6441625679523687
mutualinfo_GB,3,0.8609424022302277,0.6341565948502366,10,0.9704153376290223,0.7148184494602552,3,0.8609424022302277,0.6341565948502366
sfs(gb)_GB,4,0.9055951776987575,0.7029956927842036,8,0.960108737834218,0.6592112425157108,2,0.8544626323682218,0.6033320752682374
sfs(lr)_GB,2,0.8948010207488574,0.7544345143582997,7,0.9641219174313166,0.7032354213739723,2,0.8948010207488574,0.7544345143582997
im(gb)_GB,4,0.9055951776987575,0.7029956927842036,9,0.9638879968923979,0.693677993997483,2,0.8544626323682218,0.6033320752682374
im(lr)_GB,2,0.7656190404856581,0.7926998880559042,9,0.9629555694386396,0.7122185706577719,5,0.9223800973707877,0.6615100911791824
chi2_NN,2,0.8405909502695179,0.8039987405541561,7,0.9644806120761841,0.7112934777422587,3,0.8949993444535638,0.7765469994216826
ANOVA_NN,3,0.8966415462610744,0.7210903737474476,7,0.9644502698784363,0.7308923192771084,3,0.8966415462610744,0.7210903737474476
mutualinfo_NN,3,0.8440360924153172,0.7124692135861163,10,0.9572443417508296,0.7171198341265728,3,0.8440360924153172,0.7124692135861163
sfs(gb)_NN,4,0.9019474366683575,0.7235046971628192,8,0.9568280691981563,0.6738077769625825,2,0.8527958750035634,0.6063664179505072
sfs(lr)_NN,2,0.8937785459810152,0.7668890182208892,7,0.9648679156325226,0.7287033546928006,2,0.8937785459810152,0.7668890182208892
im(gb)_NN,4,0.9021438721543202,0.7492245940521803,9,0.9600670057760281,0.7076967014136798,2,0.8524599430692961,0.6000539519827354
im(lr)_NN,2,0.7638908189229815,0.795240992361252,12,0.9572801057637148,0.6992502883506343,5,0.9035288812433645,0.6314351754570288
