,MD_size,MD_score,MD_test,MPR_size,MPR_score,MPR_test,MS_size,MS_score,MS_test
chi2_LR,2,0.7851560780473814,0.884446323991132,11,0.8209484668880112,0.906915262500893,2,0.7851560780473814,0.884446323991132
ANOVA_LR,13,0.8285648467950087,0.9012231867728526,13,0.8285648467950087,0.9012231867728526,2,0.7851560780473814,0.884446323991132
mutualinfo_LR,7,0.7579810740150845,0.8489134393589899,19,0.83024750812499,0.9029122905646556,2,0.6982804835183604,0.7854015427302209
sfs(gb)_LR,2,0.7815020835729553,0.882190284081358,18,0.825942781334601,0.905527872606603,2,0.7815020835729553,0.882190284081358
sfs(lr)_LR,24,0.8348775225114273,0.9084009043466434,23,0.8106820139013509,0.871212321348374,2,0.7851560780473814,0.884446323991132
im(gb)_LR,13,0.8201297518566291,0.90517412222077,13,0.8201297518566291,0.90517412222077,2,0.7851560780473814,0.884446323991132
im(lr)_LR,11,0.7904350723847977,0.8860760572261182,22,0.809928642676794,0.8705353800074879,2,0.7099869933151249,0.755672432800671
chi2_GB,2,0.8115457567222564,0.8579490191040723,13,0.9120143982903327,0.9061477063808796,2,0.8115457567222564,0.8579490191040723
ANOVA_GB,5,0.8517650011191582,0.8394817721878104,11,0.9112170299220367,0.9038445973290166,2,0.8115457567222564,0.8579490191040723
mutualinfo_GB,3,0.89532953199665,0.9158935027939082,5,0.9127581416217156,0.9148526057047868,2,0.8701000705375076,0.8836960623977859
sfs(gb)_GB,2,0.8927799105125714,0.9163737288395284,5,0.9115122569470359,0.913592759537336,2,0.8927799105125714,0.9163737288395284
sfs(lr)_GB,2,0.8429816941515045,0.8855396859863777,12,0.9158877679303625,0.9090568277671904,2,0.8429816941515045,0.8855396859863777
im(gb)_GB,7,0.9157847696230643,0.9145469350184978,7,0.9157847696230643,0.9145469350184978,2,0.8272834455169077,0.8555199844331296
im(lr)_GB,3,0.847586426501713,0.8440493438172534,9,0.9094258895714884,0.9113431030803156,3,0.847586426501713,0.8440493438172534
chi2_NN,2,0.8111698282569145,0.8578978516081973,13,0.8976119357259419,0.8902441259484624,2,0.8111698282569145,0.8578978516081973
ANOVA_NN,10,0.8848428835217039,0.8950042641052112,10,0.8848428835217039,0.8950042641052112,2,0.8111698282569145,0.8578978516081973
mutualinfo_NN,3,0.8521190822000013,0.8941985297064311,6,0.8981216270817338,0.909120979818072,3,0.8521190822000013,0.8941985297064311
sfs(gb)_NN,2,0.863533290644851,0.8753533516963142,5,0.8886155837892765,0.6448718379037582,2,0.863533290644851,0.8753533516963142
sfs(lr)_NN,7,0.8838442015294016,0.9082586187906158,10,0.8862079389060448,0.9163304867187092,2,0.8235535362700513,0.9412019456329522
im(gb)_NN,7,0.8869397303184299,0.89622231871472,7,0.8869397303184299,0.89622231871472,2,0.8271888771429697,0.8563597660797017
im(lr)_NN,3,0.8245983730312794,0.8528912030693341,9,0.887858265629413,0.9033968191635576,3,0.8245983730312794,0.8528912030693341
