,MaxDelta,MD_score,MinPerfReq,MPR_score,MaxScore,MS_score
Individual_LR_chi2,4,0.7539240269617962,12,0.7939361487010188,13,0.823491069594683
Individual_LR_ANOVA,4,0.7970285239445095,12,0.7801104712958541,5,0.8067016338655659
Individual_LR_mutualinfo,5,0.7978101313937713,17,0.7760007220825023,5,0.7978101313937713
Individual_LR_sfs(rf),17,0.828713154747789,16,0.7976925737302205,2,0.7974968263993464
Individual_LR_sfs(lr),24,0.8257864176758405,23,0.7776605803971692,5,0.8067016338655659
Individual_LR_im(rf),2,0.7967297753913029,18,0.7966236148315631,2,0.7967297753913029
Individual_LR_im(lr),23,0.8265358918148458,22,0.7781423522092092,23,0.8265358918148458
Individual_GB_chi2,5,0.8311270838614814,13,0.89320819108219,15,0.9159533644086876
Individual_GB_ANOVA,3,0.8604659740220082,13,0.89320819108219,17,0.9155594730913801
Individual_GB_mutualinfo,2,0.8271180464711427,16,0.8858247038405109,20,0.9233820901440832
Individual_GB_sfs(rf),3,0.878047894671892,3,0.878047894671892,4,0.9005760980286637
Individual_GB_sfs(lr),5,0.8782352319808948,10,0.8858381040313082,11,0.8966317041775106
Individual_GB_im(rf),2,0.8753852359607514,6,0.8912153090110098,7,0.9062628618027759
Individual_GB_im(lr),4,0.8467073525981534,12,0.8908661110187539,13,0.9026656136799479
Individual_DNN_chi2,3,0.7824579518483198,12,0.8408432694351093,17,0.8872008418325962
Individual_DNN_ANOVA,10,0.8619448997030708,9,0.8392443608151904,11,0.8725593929660835
Individual_DNN_mutualinfo,5,0.8000292985834083,15,0.821176279872698,17,0.8817752015439044
Individual_DNN_sfs(rf),17,0.8764997993018826,16,0.841907045223388,9,0.8746522115455049
Individual_DNN_sfs(lr),21,0.8676747074449956,20,0.8425485956366952,6,0.8505280219176073
Individual_DNN_im(rf),2,0.8318192390204888,18,0.8456952196438842,3,0.8478424246844567
Individual_DNN_im(lr),2,0.7809005367932398,11,0.8392969111869538,17,0.8945493906860216
Set_LR_union,17,0.8254401193068548,13,0.7766124223325571,17,0.8254401193068548
Set_LR_intersection,5,0.7953771066579508,8,0.7459138690299151,5,0.7953771066579508
Set_LR_quorum,12,0.7962287646259292,14,0.7967345670736632,3,0.7976386296360776
Set_GB_union,10,0.9123309138035978,24,0.9223480084332742,10,0.9123309138035978
Set_GB_intersection,3,0.8213200772089776,12,0.8845384781289262,15,0.9129112518932935
Set_GB_quorum,17,0.9132410185305047,14,0.8811868048370342,17,0.9132410185305047
Set_DNN_union,10,0.891105246259252,24,0.8861935219738667,10,0.891105246259252
Set_DNN_intersection,8,0.8201356173961702,12,0.8198560820968985,19,0.870084518145366
Set_DNN_quorum,23,0.8831257415121441,10,0.8414303445798603,7,0.848445596123088
Greedy_LR_greedy,16,0.8250464156567545,15,0.7961501591700653,2,0.7967297753913029
Greedy_GB_greedy,2,0.8753852359607514,4,0.8791080470348829,8,0.9092097436442467
Greedy_DNN_greedy,16,0.8627918645648236,15,0.8357155037709845,4,0.8475679813058559
